Designator,Mid X,Mid Y,Rotation,Layer
(AND_Gate)IC6,110.055,185.4005,225.0,top
(BidirectionalLogicLevelShifter)IC4,253.9545,165.5265,315.0,top
(LDORegulator)IC1,182.2,167.24,90.0,top
(LF50ABDT-TR)-IC3,203.962,158.369,270.0,top
C1,128.6238,166.5109,225.0,top
C10,336.804,108.955,90.0,top
C11,336.804,87.133,90.0,top
C12,336.804,68.188,90.0,top
C13,336.804,49.138,90.0,top
C14,336.804,30.099,90.0,top
C15,336.804,10.679,90.0,top
C16,155.446604,171.067604,45.0,top
C17,145.416396,180.719604,315.0,top
C18,196.977,177.7128,270.0,top
C19,138.43,163.195,135.0,top
C2,142.2821,152.9912,225.0,top
C20,147.194396,162.177604,315.0,top
C21,209.296,162.5456,270.0,top
C22,255.398396,170.559604,315.0,top
C23,258.697604,167.260396,135.0,top
C24,336.804,126.1728,270.0,top
C25,258.5974,160.8836,315.0,top
C26,259.8674,162.1536,315.0,top
C27,257.3274,159.6136,315.0,top
C29,152.144604,167.765604,45.0,top
C3,129.756396,170.863604,135.0,top
C33,198.864,162.6644,270.0,top
C4,182.05,164.04,0.0,top
C5,182.06,170.47,0.0,top
C6,133.450204,167.819196,135.0,top
C7,133.475604,173.353604,225.0,top
C8,113.155604,188.596396,135.0,top
C9,336.804,130.821,90.0,top
D1,21.0185,131.015,90.0,bottom
D10,211.5185,131.015,90.0,bottom
D100,268.6685,10.971,90.0,bottom
D101,287.7185,10.971,90.0,bottom
D102,306.7685,11.0,90.0,bottom
D103,197.084,183.7284,180.0,top
D11,235.331,131.015,90.0,bottom
D12,254.381,131.064,90.0,bottom
D13,292.481,130.986,90.0,bottom
D14,311.531,131.015,90.0,bottom
D15,330.581,130.986,90.0,bottom
D16,21.0185,109.142,90.0,bottom
D17,49.5935,109.093,90.0,bottom
D18,68.6435,109.093,90.0,bottom
D19,87.6935,109.171,90.0,bottom
D2,40.0685,130.986,90.0,bottom
D20,106.7435,109.142,90.0,bottom
D21,130.556,109.171,90.0,bottom
D22,149.606,109.142,90.0,bottom
D23,168.656,109.093,90.0,bottom
D24,187.706,109.093,90.0,bottom
D25,211.5185,109.142,90.0,bottom
D26,230.5685,109.171,90.0,bottom
D27,249.6185,109.142,90.0,bottom
D28,268.6685,109.093,90.0,bottom
D29,292.481,109.093,90.0,bottom
D3,63.881,131.064,90.0,bottom
D30,311.531,109.171,90.0,bottom
D31,330.581,109.171,90.0,bottom
D32,21.0185,87.249,90.0,bottom
D33,40.0685,87.171,90.0,bottom
D34,59.1185,87.249,90.0,bottom
D35,78.1685,87.2,90.0,bottom
D36,97.2185,87.171,90.0,bottom
D37,116.2685,87.2,90.0,bottom
D38,135.3185,87.249,90.0,bottom
D39,154.3685,87.249,90.0,bottom
D4,82.931,131.015,90.0,bottom
D40,173.4185,87.171,90.0,bottom
D41,192.4685,87.249,90.0,bottom
D42,211.5185,87.2,90.0,bottom
D43,230.5685,87.2,90.0,bottom
D44,249.6185,87.249,90.0,bottom
D45,278.1935,87.2,90.0,bottom
D46,311.531,87.249,90.0,bottom
D47,330.581,87.171,90.0,bottom
D48,25.781,68.199,90.0,bottom
D49,49.5935,68.15,90.0,bottom
D5,106.7435,131.015,90.0,bottom
D50,68.6435,68.15,90.0,bottom
D51,87.6935,68.121,90.0,bottom
D52,106.7435,68.15,90.0,bottom
D53,125.7935,68.15,90.0,bottom
D54,144.8435,68.121,90.0,bottom
D55,163.8935,68.121,90.0,bottom
D56,182.9435,68.15,90.0,bottom
D57,201.9935,68.199,90.0,bottom
D58,221.0435,68.199,90.0,bottom
D59,240.0935,68.121,90.0,bottom
D6,125.7935,130.986,90.0,bottom
D60,259.1435,68.121,90.0,bottom
D61,285.3373,58.674,90.0,bottom
D62,311.531,68.15,90.0,bottom
D63,330.581,68.199,90.0,bottom
D64,28.1623,49.149,90.0,bottom
D65,54.356,49.149,90.0,bottom
D66,73.406,49.1,90.0,bottom
D67,92.456,49.149,90.0,bottom
D68,111.506,49.1,90.0,bottom
D69,130.556,49.149,90.0,bottom
D7,149.606,130.986,90.0,bottom
D70,149.606,49.071,90.0,bottom
D71,168.656,49.071,90.0,bottom
D72,187.706,49.022,90.0,bottom
D73,206.756,49.1,90.0,bottom
D74,225.806,49.071,90.0,bottom
D75,244.856,49.071,90.0,bottom
D76,263.906,49.149,90.0,bottom
D77,311.531,49.1,90.0,bottom
D78,330.581,49.149,90.0,bottom
D79,23.3998,30.099,90.0,bottom
D8,168.656,131.064,90.0,bottom
D80,44.831,30.099,90.0,bottom
D81,63.881,30.05,90.0,bottom
D82,82.931,30.099,90.0,bottom
D83,101.981,30.021,90.0,bottom
D84,121.031,30.021,90.0,bottom
D85,140.081,30.099,90.0,bottom
D86,159.131,30.099,90.0,bottom
D87,178.181,30.021,90.0,bottom
D88,197.231,30.021,90.0,bottom
D89,216.281,30.021,90.0,bottom
D9,192.4685,130.986,90.0,bottom
D90,235.331,30.099,90.0,bottom
D91,261.5248,30.099,90.0,bottom
D92,287.7185,30.099,90.0,bottom
D93,330.581,30.05,90.0,bottom
D94,23.3998,10.971,90.0,bottom
D95,47.2123,10.971,90.0,bottom
D96,71.0248,11.049,90.0,bottom
D97,142.4623,11.049,90.0,bottom
D98,213.8998,11.049,90.0,bottom
D99,237.7123,11.049,90.0,bottom
J1,164.6776,187.5376,135.0,top
JSTPH4-PIN1,67.254,165.941,90.0,top
LED1,15.9385,129.2613,0.0,top
LED10,206.4385,129.2613,0.0,top
LED100,263.5885,9.2463,0.0,top
LED101,282.6385,9.2463,0.0,top
LED102,301.6885,9.2463,0.0,top
LED11,230.251,129.2613,0.0,top
LED12,249.301,129.2613,0.0,top
LED13,287.401,129.2613,0.0,top
LED14,306.451,129.2613,0.0,top
LED15,325.501,129.2613,0.0,top
LED16,15.9385,107.3538,180.0,top
LED17,44.5135,107.3538,180.0,top
LED18,63.5635,107.3538,180.0,top
LED19,82.6135,107.3538,180.0,top
LED2,34.9885,129.2613,0.0,top
LED20,101.6635,107.3538,180.0,top
LED21,125.476,107.3538,180.0,top
LED22,144.526,107.3538,180.0,top
LED23,163.576,107.3538,180.0,top
LED24,182.626,107.3538,180.0,top
LED25,206.4385,107.3538,180.0,top
LED26,225.4885,107.3538,180.0,top
LED27,244.5385,107.3538,180.0,top
LED28,263.5885,107.3538,180.0,top
LED29,287.401,107.3538,180.0,top
LED3,58.801,129.2613,0.0,top
LED30,306.451,107.3538,180.0,top
LED31,325.501,107.3538,180.0,top
LED32,15.9385,85.4463,0.0,top
LED33,34.9885,85.4463,0.0,top
LED34,54.0385,85.4463,0.0,top
LED35,73.0885,85.4463,0.0,top
LED36,92.1385,85.4463,0.0,top
LED37,111.1885,85.4463,0.0,top
LED38,130.2385,85.4463,0.0,top
LED39,149.2885,85.4463,0.0,top
LED4,77.851,129.2613,0.0,top
LED40,168.3385,85.4463,0.0,top
LED41,187.3885,85.4463,0.0,top
LED42,206.4385,85.4463,0.0,top
LED43,225.4885,85.4463,0.0,top
LED44,244.5385,85.4463,0.0,top
LED45,273.1135,85.4463,0.0,top
LED46,306.451,85.4463,0.0,top
LED47,325.501,85.4463,0.0,top
LED48,20.701,66.3963,180.0,top
LED49,44.5135,66.3963,180.0,top
LED5,101.6635,129.2613,0.0,top
LED50,63.5635,66.3963,180.0,top
LED51,82.6135,66.3963,180.0,top
LED52,101.6635,66.3963,180.0,top
LED53,120.7135,66.3963,180.0,top
LED54,139.7635,66.3963,180.0,top
LED55,158.8135,66.3963,180.0,top
LED56,177.8635,66.3963,180.0,top
LED57,196.9135,66.3963,180.0,top
LED58,215.9635,66.3963,180.0,top
LED59,235.0135,66.3963,180.0,top
LED6,120.7135,129.2613,0.0,top
LED60,254.0635,66.3963,180.0,top
LED61,280.2573,56.8713,180.0,top
LED62,306.451,66.3963,180.0,top
LED63,325.501,66.3963,180.0,top
LED64,23.0823,47.3463,0.0,top
LED65,49.276,47.3463,0.0,top
LED66,68.326,47.3463,0.0,top
LED67,87.376,47.3463,0.0,top
LED68,106.426,47.3463,0.0,top
LED69,125.476,47.3463,0.0,top
LED7,144.526,129.2613,0.0,top
LED70,144.526,47.3463,0.0,top
LED71,163.576,47.3463,0.0,top
LED72,182.626,47.3463,0.0,top
LED73,201.676,47.3463,0.0,top
LED74,220.726,47.3463,0.0,top
LED75,239.776,47.3463,0.0,top
LED76,258.826,47.3463,0.0,top
LED77,306.451,47.3463,0.0,top
LED78,325.501,47.3463,0.0,top
LED79,18.3198,28.2963,180.0,top
LED8,163.576,129.2613,0.0,top
LED80,39.751,28.2963,180.0,top
LED81,58.801,28.2963,180.0,top
LED82,77.851,28.2963,180.0,top
LED83,96.901,28.2963,180.0,top
LED84,115.951,28.2963,180.0,top
LED85,135.001,28.2963,180.0,top
LED86,154.051,28.2963,180.0,top
LED87,173.101,28.2963,180.0,top
LED88,192.151,28.2963,180.0,top
LED89,211.201,28.2963,180.0,top
LED9,187.3885,129.2613,0.0,top
LED90,230.251,28.2963,180.0,top
LED91,256.4448,28.2963,180.0,top
LED92,282.6385,28.2963,180.0,top
LED93,325.501,28.2963,180.0,top
LED94,18.3198,9.2463,0.0,top
LED95,42.1323,9.2463,0.0,top
LED96,65.9448,9.2463,0.0,top
LED97,137.3823,9.2463,0.0,top
LED98,208.8198,9.2463,0.0,top
LED99,232.6323,9.2463,0.0,top
MCU1,143.129,170.942,45.0,top
MX1,15.9385,134.4613,0.0,top
MX10,206.4385,134.4613,0.0,top
MX100,263.5885,14.4463,0.0,top
MX101,282.6385,14.4463,0.0,top
MX102,301.6885,14.4463,0.0,top
MX11,230.251,134.4613,0.0,top
MX12,249.301,134.4613,0.0,top
MX13,287.401,134.4613,0.0,top
MX14,306.451,134.4613,0.0,top
MX15,325.501,134.4613,0.0,top
MX16,15.9385,112.5538,0.0,top
MX17,44.5135,112.5538,0.0,top
MX18,63.5635,112.5538,0.0,top
MX19,82.6135,112.5538,0.0,top
MX2,34.9885,134.4613,0.0,top
MX20,101.6635,112.5538,0.0,top
MX21,125.476,112.5538,0.0,top
MX22,144.526,112.5538,0.0,top
MX23,163.576,112.5538,0.0,top
MX24,182.626,112.5538,0.0,top
MX25,206.4385,112.5538,0.0,top
MX26,225.4885,112.5538,0.0,top
MX27,244.5385,112.5538,0.0,top
MX28,263.5885,112.5538,0.0,top
MX29,287.401,112.5538,0.0,top
MX3,58.801,134.4613,0.0,top
MX30,306.451,112.5538,0.0,top
MX31,325.501,112.5538,0.0,top
MX32,15.9385,90.6463,0.0,top
MX33,34.9885,90.6463,0.0,top
MX34,54.0385,90.6463,0.0,top
MX35,73.0885,90.6463,0.0,top
MX36,92.1385,90.6463,0.0,top
MX37,111.1885,90.6463,0.0,top
MX38,130.2385,90.6463,0.0,top
MX39,149.2885,90.6463,0.0,top
MX4,77.851,134.4613,0.0,top
MX40,168.3385,90.6463,0.0,top
MX41,187.3885,90.6463,0.0,top
MX42,206.4385,90.6463,0.0,top
MX43,225.4885,90.6463,0.0,top
MX44,244.5385,90.6463,0.0,top
MX45,273.1135,90.6463,0.0,top
MX46,306.451,90.6463,0.0,top
MX47,325.501,90.6463,0.0,top
MX48,20.701,71.5963,0.0,top
MX49,44.5135,71.5963,0.0,top
MX5,101.6635,134.4613,0.0,top
MX50,63.5635,71.5963,0.0,top
MX51,82.6135,71.5963,0.0,top
MX52,101.6635,71.5963,0.0,top
MX53,120.7135,71.5963,0.0,top
MX54,139.7635,71.5963,0.0,top
MX55,158.8135,71.5963,0.0,top
MX56,177.8635,71.5963,0.0,top
MX57,196.9135,71.5963,0.0,top
MX58,215.9635,71.5963,0.0,top
MX59,235.0135,71.5963,0.0,top
MX6,120.7135,134.4613,0.0,top
MX60,254.0635,71.5963,0.0,top
MX61,280.2573,62.0713,0.0,top
MX62,306.451,71.5963,0.0,top
MX63,325.501,71.5963,0.0,top
MX64,23.0823,52.5463,0.0,top
MX65,49.276,52.5463,0.0,top
MX66,68.326,52.5463,0.0,top
MX67,87.376,52.5463,0.0,top
MX68,106.426,52.5463,0.0,top
MX69,125.476,52.5463,0.0,top
MX7,144.526,134.4613,0.0,top
MX70,144.526,52.5463,0.0,top
MX71,163.576,52.5463,0.0,top
MX72,182.626,52.5463,0.0,top
MX73,201.676,52.5463,0.0,top
MX74,220.726,52.5463,0.0,top
MX75,239.776,52.5463,0.0,top
MX76,258.826,52.5463,0.0,top
MX77,306.451,52.5463,0.0,top
MX78,325.501,52.5463,0.0,top
MX79,18.3198,33.4963,0.0,top
MX8,163.576,134.4613,0.0,top
MX80,39.751,33.4963,0.0,top
MX81,58.801,33.4963,0.0,top
MX82,77.851,33.4963,0.0,top
MX83,96.901,33.4963,0.0,top
MX84,115.951,33.4963,0.0,top
MX85,135.001,33.4963,0.0,top
MX86,154.051,33.4963,0.0,top
MX87,173.101,33.4963,0.0,top
MX88,192.151,33.4963,0.0,top
MX89,211.201,33.4963,0.0,top
MX9,187.3885,134.4613,0.0,top
MX90,230.251,33.4963,0.0,top
MX91,256.4448,33.4963,0.0,top
MX92,282.6385,33.4963,0.0,top
MX93,325.501,33.4963,0.0,top
MX94,18.3198,14.4463,0.0,top
MX95,42.1323,14.4463,0.0,top
MX96,65.9448,14.4463,0.0,top
MX97,137.3823,14.4463,0.0,top
MX98,208.8198,14.4463,0.0,top
MX99,232.6323,14.4463,0.0,top
Polyfuse1,203.884,180.213,0.0,top
Q1,99.95,181.25,180.0,top
R1,192.913,188.002,90.0,top
R10,135.637395,165.736395,45.0,top
R11,166.2796,182.1402,225.0,top
R12,302.3149,36.3941,45.0,top
R13,306.5059,36.3941,135.0,top
R14,306.5608,32.3129,45.0,top
R16,99.8,175.0,0.0,top
R18,112.1419,183.4234,45.0,top
R19,107.9509,187.3604,45.0,top
R2,215.392,188.0014,90.0,top
R21,336.804,22.733,90.0,top
R22,336.804,18.923,90.0,top
R4,302.3149,32.3129,135.0,top
Rotary_Encoder(20mm)_S4,332.867,16.5,270.0,top
S6,334.1225,158.623,90.0,top
Schottky/ReversPolProtec1,210.566,177.746,90.0,top
TVSDiode/ESDSuppr1,210.566,183.362,90.0,top
USB-C1,204.051,191.132,180.0,top
Y1,134.8623,159.1325,315.0,top
